pitch;roll;lado;movimento;sessao
0.011043005;-0.009544015;D;Repouso;1477026882
-0.11398001;-0.18420196;E;Dorsiflexao;1477026882
-0.12754601;0.134529;D;Dorsiflexao;1477026882
-0.11067499;-0.18831599;E;Dorsiflexao;1477026882
-0.118839;0.13369799;D;Dorsiflexao;1477026882
-0.10374899;-0.18295896;E;Dorsiflexao;1477026882
-0.105073996;0.13683593;D;Dorsiflexao;1477026882
-0.10997899;-0.17875206;E;Dorsiflexao;1477026882
-0.115449004;0.1325469;D;Dorsiflexao;1477026882
-0.109478995;-0.12997496;E;Dorsiflexao;1477026882
-0.1062;0.12874389;D;Dorsiflexao;1477026882
-0.100557;-0.18247497;E;Dorsiflexao;1477026882
-0.12527299;0.13038099;D;Dorsiflexao;1477026882
-0.099822;-0.19283497;E;Dorsiflexao;1477026882
-0.11889199;0.13886595;D;Dorsiflexao;1477026882
-0.10914101;-0.16394699;E;Dorsiflexao;1477026882
-0.07551;0.12411392;D;Dorsiflexao;1477026882
-0.08239101;-0.12641203;E;Dorsiflexao;1477026882
-0.044538997;0.11488998;D;Dorsiflexao;1477026882
-0.09148601;-0.17699003;E;Dorsiflexao;1477026882
-0.071426;0.124864936;D;Dorsiflexao;1477026882
0.33892798;-0.06546104;E;Flexao;1477026882
0.34810102;0.051093936;D;Flexao;1477026882
0.35369802;-0.08194506;E;Flexao;1477026882
0.325717;0.038515925;D;Flexao;1477026882
0.343619;-0.061867952;E;Flexao;1477026882
0.339011;0.04755795;D;Flexao;1477026882
0.33906502;-0.06583798;E;Flexao;1477026882
0.33946002;0.026864886;D;Flexao;1477026882
0.346228;-0.076490045;E;Flexao;1477026882
0.344267;0.03929794;D;Flexao;1477026882
0.349631;-0.060029984;E;Flexao;1477026882
0.340014;0.042515993;D;Flexao;1477026882
0.343189;-0.05966699;E;Flexao;1477026882
0.339969;0.028385997;D;Flexao;1477026882
0.334691;-0.069031954;E;Flexao;1477026882
0.32432202;0.047825933;D;Flexao;1477026882
0.35232902;-0.061205983;E;Flexao;1477026882
0.324512;0.03150189;D;Flexao;1477026882
0.336128;-0.061836958;E;Flexao;1477026882
0.311334;0.015832901;D;Flexao;1477026882
0.072041996;-0.050078034;E;Eversao;1477026882
-0.046183996;-0.20259607;D;Eversao;1477026882
-0.041924;0.23346096;E;Eversao;1477026882
-0.08372799;-0.46767408;D;Eversao;1477026882
-0.052736998;0.44412202;E;Eversao;1477026882
-0.08451899;-0.43008304;D;Eversao;1477026882
-0.04570301;0.21852499;E;Eversao;1477026882
-0.080683;-0.43320006;D;Eversao;1477026882
-0.050897002;0.341636;E;Eversao;1477026882
-0.081972994;-0.43647605;D;Eversao;1477026882
-0.052571997;0.269655;E;Eversao;1477026882
-0.079547994;-0.38858503;D;Eversao;1477026882
-0.054766;0.312025;E;Eversao;1477026882
-0.075291;-0.40375006;D;Eversao;1477026882
-0.05657001;0.310386;E;Eversao;1477026882
-0.078526;-0.38072205;D;Eversao;1477026882
-0.07736701;0.386173;E;Eversao;1477026882
-0.105652995;-0.44105607;D;Eversao;1477026882
-0.022803009;0.23874897;E;Eversao;1477026882
-0.11094;-0.48545903;D;Eversao;1477026882
0.115578994;-1.1730491;E;Inversao;1477026882
0.082857;1.197873;D;Inversao;1477026882
0.079482995;-1.088302;E;Inversao;1477026882
0.044046;1.1179758;D;Inversao;1477026882
0.070676;-1.0842489;E;Inversao;1477026882
0.038446;1.0947119;D;Inversao;1477026882
0.059933998;-1.078175;E;Inversao;1477026882
0.041726;1.0593859;D;Inversao;1477026882
0.07380699;-1.086363;E;Inversao;1477026882
0.047042005;1.092935;D;Inversao;1477026882
0.063795;-1.072451;E;Inversao;1477026882
0.040674;1.096744;D;Inversao;1477026882
0.06326;-1.079975;E;Inversao;1477026882
0.044366002;1.043173;D;Inversao;1477026882
0.059671;-1.063136;E;Inversao;1477026882
0.050778;1.0529279;D;Inversao;1477026882
0.062626;-1.0627099;E;Inversao;1477026882
0.063772;1.107117;D;Inversao;1477026882
0.067439;-1.065441;E;Inversao;1477026882
0.05494;1.065631;D;Inversao;1477026882
0.015893996;-0.039415956;E;Repouso;1477026882
0.020922001;0.09216297;D;Repouso;1477026882
0.014091;-0.040544033;E;Repouso;1477026882
0.021541003;0.09208596;D;Repouso;1477026882
0.0106270015;-0.032583952;E;Repouso;1477026882
0.020487003;0.088912964;D;Repouso;1477026882
0.010591999;-0.038673997;E;Repouso;1477026882
0.020930003;0.08752298;D;Repouso;1477026882
0.013170004;-0.026610017;E;Repouso;1477026882
0.019763;0.087585926;D;Repouso;1477026882
0.014263004;-0.03509903;E;Repouso;1477026882
0.024984002;0.08752298;D;Repouso;1477026882
0.016813993;-0.038303018;E;Repouso;1477026882
0.020926002;0.09488797;D;Repouso;1477026882
0.016658992;-0.033344984;E;Repouso;1477026882
0.021093003;0.09234595;D;Repouso;1477026882
0.015966997;-0.03996396;E;Repouso;1477026882
0.022998001;0.093798995;D;Repouso;1477026882
0.015173003;-0.038666964;E;Repouso;1477026882
0.021679003;0.0908829;D;Repouso;1477026882
-0.233597;-0.19625199;E;Dorsiflexao;1477026882
-0.22277299;0.2793299;D;Dorsiflexao;1477026882
-0.240148;-0.18835902;E;Dorsiflexao;1477026882
-0.21932498;0.2681359;D;Dorsiflexao;1477026882
-0.23826699;-0.20776296;E;Dorsiflexao;1477026882
